#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1	family	Clupeidae	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	no identification	no identification	lca
ASV2	genus	Cymatogaster	Eukaryota	Chordata	Actinopteri	unknown order	Embiotocidae	Cymatogaster	no identification	lca
ASV3	genus	Gasterosteus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	no identification	lca
ASV4	genus	Sebastes	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	no identification	lca
ASV5	genus	Ammodytes	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	no identification	lca
ASV6	genus	Hexagrammos	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	no identification	lca
ASV7	genus	Oncorhynchus	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	no identification	lca
ASV8	genus	Pholis	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	Pholis	no identification	lca
ASV9	family	Cottidae	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	no identification	no identification	lca
ASV10	family	Embiotocidae	Eukaryota	Chordata	Actinopteri	unknown order	Embiotocidae	no identification	no identification	lca
ASV11	family	Stichaeidae	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	no identification	no identification	lca
ASV12	family	Pleuronectidae	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	no identification	no identification	lca
ASV13	genus	Hexagrammos	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	no identification	lca
ASV14	order	Perciformes	Eukaryota	Chordata	Actinopteri	Perciformes	no identification	no identification	no identification	lca
ASV15	genus	Artedius	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Artedius	no identification	lca
ASV16	genus	Sebastes	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	no identification	lca
ASV17	genus	Oncorhynchus	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	no identification	lca
ASV18	genus	Oncorhynchus	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	no identification	lca
ASV19	genus	Aulorhynchus	Eukaryota	Chordata	Actinopteri	Perciformes	Aulorhynchidae	Aulorhynchus	no identification	lca
ASV20	family	Cottidae	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	no identification	no identification	lca
ASV21	family	Stichaeidae	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	no identification	no identification	lca
ASV22	family	Pleuronectidae	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	no identification	no identification	lca
ASV23	family	Embiotocidae	Eukaryota	Chordata	Actinopteri	unknown order	Embiotocidae	no identification	no identification	lca
ASV24	genus	Clupea	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	no identification	lca
ASV25	genus	Hemilepidotus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Hemilepidotus	no identification	lca
ASV26	family	Hexagrammidae	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	no identification	no identification	lca
ASV27	family	Stichaeidae	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	no identification	no identification	lca
ASV28	genus	Gobiesox	Eukaryota	Chordata	Actinopteri	Blenniiformes	Gobiesocidae	Gobiesox	no identification	lca
ASV29	genus	Scorpaenichthys	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Scorpaenichthys	no identification	lca
ASV30	genus	Citharichthys	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Cyclopsettidae	Citharichthys	no identification	lca
ASV31	family	Cottidae	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	no identification	no identification	lca
ASV32	family	Embiotocidae	Eukaryota	Chordata	Actinopteri	unknown order	Embiotocidae	no identification	no identification	lca
ASV33	genus	Oncorhynchus	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	no identification	lca
ASV34	genus	Citharichthys	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Cyclopsettidae	Citharichthys	no identification	lca
ASV35	genus	Clinocottus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Clinocottus	no identification	lca
ASV36	genus	Oligocottus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Oligocottus	no identification	lca
ASV37	genus	Artedius	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Artedius	no identification	lca
ASV38	genus	Citharichthys	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Cyclopsettidae	Citharichthys	no identification	lca
ASV39	genus	Liparis	Eukaryota	Chordata	Actinopteri	Perciformes	Liparidae	Liparis	no identification	lca
ASV40	order	Perciformes	Eukaryota	Chordata	Actinopteri	Perciformes	no identification	no identification	no identification	lca
ASV41	order	Perciformes	Eukaryota	Chordata	Actinopteri	Perciformes	no identification	no identification	no identification	lca
ASV42	genus	Myoxocephalus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Myoxocephalus	no identification	lca
ASV43	order	Perciformes	Eukaryota	Chordata	Actinopteri	Perciformes	no identification	no identification	no identification	lca
ASV44	genus	Sebastes	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	no identification	lca
ASV45	genus	Synchirus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Synchirus	no identification	lca
ASV46	genus	Engraulis	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	no identification	lca
ASV47	genus	Ascelichthys	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Ascelichthys	no identification	lca
ASV48	genus	Sebastes	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	no identification	lca
ASV49	genus	Pleuronichthys	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Pleuronichthys	no identification	lca
ASV50	family	Cottidae	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	no identification	no identification	lca
ASV51	order	Perciformes	Eukaryota	Chordata	Actinopteri	Perciformes	no identification	no identification	no identification	lca
ASV52	genus	Gasterosteus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	no identification	lca
ASV53	genus	Clupea	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	no identification	lca
ASV54	genus	Gibbonsia	Eukaryota	Chordata	Actinopteri	Blenniiformes	Clinidae	Gibbonsia	no identification	lca
ASV55	family	Stichaeidae	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	no identification	no identification	lca
