site,year,month,day,replicate,frac8000um,frac4000um,frac2000um,frac1000um,frac500um,frac250um,frac125um,frac63um,frac32um,frac20um,fracless20um,sum,notes
kis2,2015,6,17,na,2.89,0.87,3.03,19.5,41.79,2.85,0.48,0.16,0.1,0.5,0,72.17,
gog4,2015,8,15,na,0,0.42,0.2,0.55,1.21,42.98,96.75,1.59,0.19,0.05,0,143.94,
kis1,2014,6,13,na,1.21,7.16,18.05,79.7,104.21,5.69,1.24,0.39,0.02,0,0,217.67,
hab2,2014,6,14,na,0,0,1.39,4.5,4.8,181.9,79.55,2,0.3,0,0,274.44,
koe1,2014,6,15,na,0,0.39,1.08,3.07,11.17,37.28,67.09,1,0.1,0,0,121.18,
hdo,2014,6,16,na,0,0.29,0.06,0.83,4.57,79.96,24.53,1.84,0.17,0,0,112.25,
ssp,2014,7,2,na,0,0,0.17,0.1,0.85,108.24,141.34,1.08,0.03,0,0,251.81,
hab4,2014,7,3,na,24.81,14.98,10.81,13.48,23.07,43.81,40.8,7.71,0.6,0.01,0,180.08,
wfb,2014,7,9,na,0,0,0.49,2.65,3.43,61.6,57.69,0.95,0,0,0,126.81,
chp,2014,7,9,na,6.19,21.24,27.36,25.87,9.56,7.25,9.21,0.43,0.04,0,0,107.15,
fan1,2014,7,13,2,5.56,14.44,17.9,36.24,15.72,11.7,27.37,4.61,0.77,0.29,0.08,134.68,
fan1,2014,7,13,1,0,1.82,9.85,42.13,84.6,39.39,2.87,0.18,0,0,0,180.84,
sni1,2014,7,14,na,0.98,1.52,4.87,8.46,12.62,20.49,18.91,5.66,0.94,0.09,0,74.54,
sni2,2014,7,14,na,1,9.41,23.97,39.95,23.6,25.76,18.71,2.26,0.32,0.07,0,145.05,
koe3,2014,7,24,1,13.87,12.64,11.05,34.57,126.77,85.58,14.43,0.86,0.09,0,0,299.86,
gog1,2014,7,26,na,0,0,0.09,0.5,5.71,156.89,140.06,0.67,0,0,0,303.92,
fan3,2014,7,27,na,1.85,9.36,28.68,63.79,121.8,102.98,19.54,1.47,0.15,0,0,349.62,
pba,2014,8,13,1,3.01,1.13,0.3,1.11,8.73,29.43,35.65,27.14,10.02,1.25,0.02,117.79,
ppo,2014,8,13,2,1.55,5.47,14.41,22.67,30.62,129.41,83.15,9.01,1.09,0,0,297.38,
